model,feature,layer,language,accuracy,macro_f1,majority,majority_acc,n,n_classes
xlsr53,nasal,0,en_us,0.8574686431014823,0.7084441489361701,0.47120892372625867,0.8911060433295325,1754,2
xlsr53,nasal,6,en_us,0.8962371721778791,0.7486749909461652,0.47120892372625867,0.8911060433295325,1754,2
xlsr53,nasal,12,en_us,0.9099201824401368,0.7808886780518659,0.47120892372625867,0.8911060433295325,1754,2
xlsr53,nasal,18,en_us,0.8996579247434435,0.7600009951238929,0.47120892372625867,0.8911060433295325,1754,2
xlsr53,nasal,24,en_us,0.8996579247434435,0.7876045794804051,0.47120892372625867,0.8911060433295325,1754,2
xlsr53,nasal,0,de_de,0.8473442074445838,0.7482708521002019,0.46257585974376264,0.8607277289836889,2391,2
xlsr53,nasal,6,de_de,0.8720200752823086,0.772143312720804,0.46257585974376264,0.8607277289836889,2391,2
xlsr53,nasal,12,de_de,0.8795483061480552,0.7770946899561058,0.46257585974376264,0.8607277289836889,2391,2
xlsr53,nasal,18,de_de,0.9012965286491008,0.8075010575440416,0.46257585974376264,0.8607277289836889,2391,2
xlsr53,nasal,24,de_de,0.8954412379757424,0.8167193640016288,0.46257585974376264,0.8607277289836889,2391,2
xlsr53,nasal,0,es_419,0.83873757025508,0.6849571281932932,0.47395951785308166,0.9009943795936014,2313,2
xlsr53,nasal,6,es_419,0.8832684824902723,0.7322916666666667,0.47395951785308166,0.9009943795936014,2313,2
xlsr53,nasal,12,es_419,0.8841331603977518,0.7318748053565867,0.47395951785308166,0.9009943795936014,2313,2
xlsr53,nasal,18,es_419,0.8927799394725465,0.7518841482404235,0.47395951785308166,0.9009943795936014,2313,2
xlsr53,nasal,24,es_419,0.8802421098140942,0.7579733253551917,0.47395951785308166,0.9009943795936014,2313,2
xlsr53,manner,0,en_us,0.6312260536398467,0.571035748979823,0.09717186366932559,0.32088122605363983,1044,5
xlsr53,manner,6,en_us,0.7547892720306514,0.7173598874884446,0.09717186366932559,0.32088122605363983,1044,5
xlsr53,manner,12,en_us,0.8074712643678161,0.7819904523564059,0.09717186366932559,0.32088122605363983,1044,5
xlsr53,manner,18,en_us,0.8390804597701149,0.800791997938805,0.09717186366932559,0.32088122605363983,1044,5
xlsr53,manner,24,en_us,0.7787356321839081,0.7232042446341955,0.09717186366932559,0.32088122605363983,1044,5
xlsr53,manner,0,de_de,0.6638655462184874,0.5610591475763504,0.0972972972972973,0.32142857142857145,1428,5
xlsr53,manner,6,de_de,0.7177871148459384,0.6163396164980691,0.0972972972972973,0.32142857142857145,1428,5
xlsr53,manner,12,de_de,0.7247899159663865,0.6240870208330127,0.0972972972972973,0.32142857142857145,1428,5
xlsr53,manner,18,de_de,0.7696078431372549,0.718590943632395,0.0972972972972973,0.32142857142857145,1428,5
