model,feature,train_lang,layer,rep,fold,within,cross,gap,within_norm,cross_norm,gap_norm
base,nasal,de_de,10,1,0,0.7850189566846868,0.6640659659198741,0.1209529907648127,0.5994258313497866,0.36305190635182283,0.23637392499796372
base,nasal,de_de,10,1,1,0.7990897140668652,0.6879066431811376,0.11118307088572765,0.6260299725779871,0.4082550486128457,0.21777492396514142
base,nasal,de_de,10,1,2,0.7932828816421247,0.6929455770279779,0.1003373046141468,0.6166563687988754,0.41780912465802145,0.19884724414085397
base,nasal,de_de,10,1,3,0.7798639141171415,0.674756007435205,0.10510790668193648,0.5918924842144861,0.3833207712879247,0.20857171292656146
base,nasal,de_de,10,1,4,0.7968255450508198,0.6701951369899671,0.12663040806085268,0.6202302800526674,0.3746731278795236,0.24555715217314383
base,nasal,de_de,10,2,0,0.7870986132969089,0.6923796452833979,0.09471896801351098,0.6039290910710574,0.41673608915320204,0.18719300191785537
base,nasal,de_de,10,2,1,0.7954394723752326,0.661592190213719,0.13384728216151365,0.6193713039553435,0.3583615012118278,0.26100980274351565
base,nasal,de_de,10,2,2,0.7898776625191719,0.6845284065791877,0.10534925593998423,0.6082977120712969,0.40184973939969443,0.20644797267160248
base,nasal,de_de,10,2,3,0.789017713654687,0.6701404313134851,0.11887728234120187,0.6084655647630249,0.3745694031216485,0.23389616164137644
base,nasal,de_de,10,2,4,0.7801859885696801,0.7027117065415815,0.07747428202809858,0.5907267978712942,0.4363262052302369,0.15440059264105732
base,nasal,es_419,10,0,0,0.6784408951643344,0.7203921836690688,-0.041951288504734396,0.38845773449088844,0.4755251649705843,-0.08706743047969584
base,nasal,es_419,10,0,1,0.5796687607081668,0.7033555780103817,-0.12368681730221498,0.19972587093089664,0.44356872305293166,-0.24384285212203502
base,nasal,es_419,10,0,2,0.7823710969868438,0.7255669510498475,0.05680414593699634,0.5854687561654168,0.4852317436491192,0.10023701251629763
base,nasal,es_419,10,0,3,0.7941029411764706,0.7196900601373291,0.07441288103914157,0.6094264705882354,0.4742081555667999,0.1352183150214355
base,nasal,es_419,10,0,4,0.8059130027515953,0.7143366293615646,0.09157637339003066,0.6316609097827995,0.4641664487225344,0.16749446106026517
base,nasal,es_419,10,1,0,0.7282392735070582,0.7269393018690324,0.0012999716380257542,0.4847894983146832,0.4878059330224328,-0.0030164347077495934
base,nasal,es_419,10,1,1,0.6988864038766192,0.700208856200434,-0.0013224523238148933,0.42621843257851083,0.4376662542886019,-0.011447821710091066
base,nasal,es_419,10,1,2,0.7885769822788806,0.7153164489370902,0.07326053334179039,0.5969658996724158,0.46600434695075904,0.13096155272165672
base,nasal,es_419,10,1,3,0.726273454607909,0.6968882129609169,0.02938524164699219,0.4802845324822166,0.431437552108202,0.04884698037401458
base,nasal,es_419,10,1,4,0.6396933709895276,0.7271947614081496,-0.08750139041862204,0.31573096286420965,0.4882851116855808,-0.17255414882137116
base,nasal,es_419,10,2,0,0.768948642477514,0.7295423340358567,0.03940630844165738,0.5604731305474543,0.4926885750178754,0.0677845555295789
base,nasal,es_419,10,2,1,0.6839108374188381,0.7014040431408932,-0.01749320572205515,0.3970688475699904,0.43990812821634906,-0.04283928064635867
base,nasal,es_419,10,2,2,0.677648386645202,0.7164397193007996,-0.03879133265559764,0.38797945684888363,0.4681113232378692,-0.08013186638898556
base,nasal,es_419,10,2,3,0.8092549588776003,0.7176409001120392,0.09161405876556117,0.6390914368650217,0.47036444017888396,0.16872699668613772
base,nasal,es_419,10,2,4,0.6954643806419442,0.717326113574446,-0.02186173293250182,0.42004674622448473,0.46977397879786775,-0.04972723257338302
base,place,en_us,6,0,0,0.8334861116051346,0.689865521770278,0.1436205898348566,0.7717648364453077,0.5812560966047526,0.19050873984055505
base,place,en_us,6,0,1,0.8495097645188495,0.6994101942482069,0.15009957027064258,0.7935572164330433,0.5941433235678788,0.19941389286516453
base,place,en_us,6,0,2,0.845763867563777,0.6766985736509648,0.16906529391281222,0.7884192161932476,0.5634780692059417,0.22494114698730594
base,place,en_us,6,0,3,0.846688566035365,0.68128447109484,0.165404094940525,0.7900213308419684,0.5696699528274596,0.22035137801450877
base,place,en_us,6,0,4,0.8307557933008262,0.703366607338545,0.12738918596228122,0.7677586655387859,0.5994852767436396,0.1682733887951463
base,place,en_us,6,1,0,0.8354716807132391,0.6896658001695986,0.14580588054364052,0.772318470691747,0.5809864322864278,0.1913320384053192
base,place,en_us,6,1,1,0.8185316439553727,0.6810402692716817,0.137491374683691,0.7505724763439019,0.5693402312652868,0.18123224507861513
base,place,en_us,6,1,2,0.8451475617008622,0.702228822188173,0.1429187395126893,0.7880611766094531,0.5979490380196787,0.19011213858977438
base,place,en_us,6,1,3,0.8609969276650801,0.6948724639934962,0.16612446367158384,0.809805994510577,0.5880164753365615,0.22178951917401546
base,place,en_us,6,1,4,0.8310228040539536,0.666518295893983,0.16450450815997053,0.7699043764094465,0.5497326473168967,0.22017172909254978
base,place,en_us,6,2,0,0.8444284649778515,0.6955535039116065,0.14887496106624498,0.7848011982179145,0.588936016160611,0.19586518205730352
base,place,en_us,6,2,1,0.8288504724699007,0.6692846449405305,0.1595658275293702,0.7652561572082994,0.5534677747510255,0.21178838245727394
base,place,en_us,6,2,2,0.8343064796970546,0.6919332853113735,0.14237319438568108,0.7735755919588988,0.5840479931440834,0.1895275988148154
base,place,en_us,6,2,3,0.8483721098326749,0.6951013613929649,0.15327074843971,0.7923489536262736,0.5883255328495399,0.20402342077673363
base,place,en_us,6,2,4,0.8562761121432846,0.6646348422784136,0.19164126986487096,0.8038805682157731,0.5471896062356557,0.2566909619801174
base,place,de_de,6,0,0,0.7504323959877252,0.5783168445197631,0.1721155514679621,0.6707072571049972,0.4202851697644751,0.2504220873405221
base,place,de_de,6,0,1,0.7419897781915686,0.5619190910304528,0.18007068716111585,0.6620514676254088,0.39774212824916133,0.26430933937624745
base,place,de_de,6,0,2,0.7715063642667911,0.5831337079494698,0.18837265631732125,0.6953262974113742,0.42690722029964534,0.26841907711172885
base,place,de_de,6,0,3,0.7791260977236661,0.5910520246895026,0.18807407303416357,0.708779272683601,0.4377930372573358,0.27098623542626515
base,place,de_de,6,0,4,0.7452286132754099,0.5733004212754411,0.17192819199996878,0.6599294639079504,0.41338877157621995,0.24654069233173043
base,place,de_de,6,1,0,0.7486462025195332,0.5718401043311079,0.1768060981884253,0.6669394751565448,0.41138118038251886,0.255558294774026
