model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,voicing,8,en_us,0.9130342837831049,0.0069528345665043016,0.9111200585949678,0.007076685579639455,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
base,voicing,8,de_de,0.8007122005599079,0.014580035399377222,0.7929126391569656,0.015904490859019026,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
base,voicing,8,es_419,0.8282163470477657,0.04371055484478601,0.8111804145008591,0.04409561801121008,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
base,nasal,8,en_us,0.9029228429774803,0.003331324836664702,0.7847678698497044,0.010090673183451498,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
base,nasal,8,de_de,0.8800566416335502,0.00671468772018133,0.7903136445791643,0.012501647626610579,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
base,nasal,8,es_419,0.828600125631835,0.06366761487220082,0.6835800431877898,0.05881812750686665,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
base,manner,8,en_us,0.8144050888090811,0.0076878299046557,0.7821052823731893,0.003556345293714245,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
base,manner,8,de_de,0.7049328349142462,0.00994654376330069,0.6497071244445213,0.011215382855954917,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
base,manner,8,es_419,0.6723122055986936,0.0468486763131328,0.57167629663708,0.036521794664656174,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
base,place,8,en_us,0.8900936989459443,0.0057479022712521345,0.8480376073505044,0.011393819616665518,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
base,place,8,de_de,0.7702527659052287,0.00934413529239017,0.7386702776388567,0.01185472772583779,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
base,place,8,es_419,0.7693068143765542,0.03248271835926352,0.6962585759471911,0.036781454490787735,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
base,voicing,10,en_us,0.9247845794462183,0.005683995362075453,0.9233069158448476,0.006123257704757085,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
base,voicing,10,de_de,0.8180404362150095,0.006973431893672821,0.8104307256970266,0.007945867289692004,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
base,voicing,10,es_419,0.8264122013998254,0.04560040479362565,0.811246019258309,0.044072128519428065,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
base,nasal,10,en_us,0.9044739294436782,0.005099830766630434,0.788846251779176,0.004991370140240764,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
base,nasal,10,de_de,0.8844096108202895,0.0035483238302103305,0.7947660297596442,0.004600837371830679,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
base,nasal,10,es_419,0.8218323340168379,0.07026591982206608,0.6807091559834492,0.058942059919217506,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
base,manner,10,en_us,0.817816527920842,0.009697677548241988,0.7762847045013688,0.014901534986362182,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
base,manner,10,de_de,0.7152227151713413,0.015045955165387075,0.628824890228372,0.013980731832373758,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
base,manner,10,es_419,0.6891988441526264,0.04612051369533194,0.585720488579543,0.03739295430673779,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
