model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
xlsr53,voicing,4,de_de,0.7823943446936291,0.0104443547371368,0.7749182626458697,0.011038073334115,0.3777473386959393,0.0023806385764874,0.6070878683327399,0.0061761042622737,4378,2,5
xlsr53,voicing,4,es_419,0.8315256386389605,0.0322480788942432,0.8081940304198121,0.0380680545101572,0.4020137145795053,0.0102300852890658,0.672765813488936,0.028450638772566,3895,2,5
xlsr53,nasal,4,en_us,0.8827315117584185,0.0051236272656244,0.732976026998049,0.0083579703828511,0.4708542834800743,0.000998723438648,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,4,de_de,0.8700676573829945,0.0143186180260286,0.7678994826259036,0.0143440221078571,0.4631361452178664,0.002013484514065,0.8626957651200764,0.0069674358671549,11952,2,5
xlsr53,nasal,4,es_419,0.8585530563430257,0.0253484748149267,0.6956109165877871,0.0260252290878964,0.4732518176840951,0.0009884608688558,0.8984470179298196,0.0035569652039121,11564,2,5
xlsr53,manner,4,en_us,0.7224656696853142,0.0119338928753754,0.6822220418582127,0.0071766904454457,0.0967739300855188,0.0019868885261517,0.3192048040209283,0.0087012505226066,5220,5,5
xlsr53,manner,4,de_de,0.6820051549748549,0.0088373611371249,0.6166455201629379,0.0206751574779819,0.0964573612325561,0.0025802959505719,0.3178662146015167,0.0110796054927506,7137,5,5
xlsr53,manner,4,es_419,0.6956021097820722,0.0385703921061719,0.6215410205007366,0.0373838608299641,0.0993967967884852,0.0015992278675927,0.3306956045218964,0.0071042750691257,6527,5,5
xlsr53,place,4,en_us,0.8261493392941656,0.0084860567581469,0.7734952328434335,0.0090405010331772,0.2695526351283239,0.0026746492934694,0.6788552512228371,0.0113326899587328,5220,3,5
xlsr53,place,4,de_de,0.757046323180969,0.0049864886282866,0.7174918233546315,0.0068072570021362,0.2447730915658932,0.0017257705833894,0.5802037676173076,0.0064610685407107,7137,3,5
xlsr53,place,4,es_419,0.7634458276367361,0.0357638482908936,0.6797835179919163,0.0409199606325546,0.2744490324222233,0.0017620701607989,0.6997710708561967,0.0076736859779251,6527,3,5
xlsr53,voicing,6,en_us,0.843399282590274,0.0066488145728994,0.8399774655817497,0.0071305200013117,0.3635478122434126,0.0065156472513934,0.5713758230838103,0.0162048585431784,3225,2,5
xlsr53,voicing,6,de_de,0.8087523823211651,0.0029605017419824,0.8016285435892421,0.0028448220461141,0.3777473386959393,0.0023806385764874,0.6070878683327399,0.0061761042622737,4378,2,5
xlsr53,voicing,6,es_419,0.836650631667859,0.0317256816482303,0.8158964694030129,0.0366422475625937,0.4020137145795053,0.0102300852890658,0.672765813488936,0.028450638772566,3895,2,5
xlsr53,nasal,6,en_us,0.8886719960007902,0.0037315587689459,0.7433554301905584,0.0121206374717156,0.4708542834800743,0.000998723438648,0.889845334030811,0.0035679468958034,8766,2,5
